check_url,count_subdomains,check_delta_in_url,hex_char_count,hex_ratio_hostname,is_http,is_ip_address,url_length,calculate_hostname_length,contains_at_symbol,digit_ratio_in_hostname,check_hostname_entropy,calculate_vowel_ratio,calculate_consonant_ratio,count_equal_signs,count_digits_in_hostname,hyphen_ratio_in_hostname,count_dots,is_priority_port,percentage_of_characters,check_has_hostname,count_slashes,label
0,1,0,60,0.26666666666666666,0,0,175,15,0,0.0,2.973557262275185,0.3333333333333333,0.5333333333333333,3,0,0.0,2,1,0,1,5,1
0,0,0,12,0.35294117647058826,0,0,42,34,0,0.17647058823529413,4.432619826353562,0.14705882352941177,0.5294117647058824,0,6,0.058823529411764705,3,1,0,1,0,1
0,0,0,35,0.39473684210526316,0,0,103,76,0,0.10526315789473684,4.713122211942347,0.23684210526315788,0.6052631578947368,0,8,0.013157894736842105,4,1,0,1,1,1
0,0,0,15,0.38095238095238093,0,0,51,21,0,0.0,3.5944656369614516,0.3333333333333333,0.5238095238095238,0,0,0.0,3,1,0,1,2,1
0,1,0,14,0.42424242424242425,0,0,41,33,0,0.0,3.6653100283182436,0.36363636363636365,0.5757575757575758,0,0,0.0,2,1,0,1,0,1
0,0,0,14,0.3333333333333333,0,0,51,42,0,0.07142857142857142,4.236857303422075,0.30952380952380953,0.5,0,3,0.047619047619047616,3,1,0,1,1,1
0,0,0,7,0.23333333333333334,0,0,39,30,0,0.13333333333333333,4.0062389286533895,0.23333333333333334,0.5333333333333333,0,4,0.0,3,1,0,1,1,1
0,0,0,21,0.36363636363636365,0,0,71,11,0,0.0,3.0957952550009344,0.18181818181818182,0.6363636363636364,0,0,0.09090909090909091,1,1,0,1,2,1
0,0,0,17,0.43478260869565216,1,0,56,23,0,0.0,3.4144413036949723,0.30434782608695654,0.5217391304347826,0,0,0.0,5,1,0,1,2,1
0,1,0,12,0.46153846153846156,0,0,35,26,0,0.23076923076923078,4.056020968057881,0.2692307692307692,0.38461538461538464,0,6,0.038461538461538464,2,1,0,1,1,1
0,0,0,11,0.22857142857142856,1,0,49,35,0,0.0,4.185867302411998,0.34285714285714286,0.5428571428571428,0,0,0.02857142857142857,3,1,0,1,2,1
0,1,0,36,0.38095238095238093,0,0,95,21,0,0.0,3.4632805178108104,0.2857142857142857,0.5714285714285714,0,0,0.047619047619047616,2,1,0,1,3,1
0,0,0,31,0.3684210526315789,0,0,101,19,0,0.0,3.826874881864636,0.3157894736842105,0.5789473684210527,0,0,0.05263157894736842,2,1,0,1,3,1
0,0,0,21,0.42857142857142855,0,0,60,7,0,0.0,2.807354922057604,0.2857142857142857,0.5714285714285714,0,0,0.0,1,1,0,1,2,1
0,0,0,5,0.29411764705882354,0,0,26,17,0,0.0,3.8521687236032816,0.23529411764705882,0.7058823529411765,0,0,0.0,1,1,0,1,1,1
0,1,0,11,0.44,1,0,32,25,0,0.0,3.399079570624174,0.36,0.56,0,0,0.0,2,1,0,1,0,1
